#,WCAid,Nome,Competizione,Numero,Eventi
,2014MAUR06,Lorenzo Mauro,Gessate Open 2017,6,333 555 333bf 333oh pyram skewb
,2014MAUR06,Lorenzo Mauro,Mantua Winter 2018,6,333 222 444 333bf 333oh pyram
,2014MAUR06,Lorenzo Mauro,Italian Championship 2019,6,222 333oh pyram sq1 555bf 333mbf
,2014MAUR06,Lorenzo Mauro,Bologna Winter Madness 2020,6,333 222 444 pyram skewb sq1
,2014MAUR06,Lorenzo Mauro,Italian Championship 2021,6,222 333bf skewb 444bf 555bf 333mbf
,2014MAUR06,Lorenzo Mauro,NexCube Italian Open 2023,6,222 444 333bf 333oh pyram skewb
,2014MAUR06,Lorenzo Mauro,Muggiò & Chill Open 2023,6,222 555 333bf pyram skewb 555bf
,2014MAUR06,Lorenzo Mauro,Eretum III: Mental Edition 2024,6,666 777 333bf 444bf 555bf 333mbf
,2016GAMM01,Vincenzo Maria Gammino,Icelandic Nationals 2023,6,444 555 666 777 333fm minx
,2017DUMM01,Matteo Dummar,Eagle of the East Azerbaijan 2019,6,444 555 minx pyram skewb sq1
,2018CENT02,Giovanni Centili,SPQR Open 2022,6,222 555 333bf minx pyram sq1
,2018CENT02,Giovanni Centili,Eretum III: WC Warmup 2023,6,333 555 777 333fm minx pyram
,2018CENT02,Giovanni Centili,Parthenope Back to School 2023,6,222 555 minx pyram skewb 333mbf
,2018CENT02,Giovanni Centili,Eretum VII: Farewell 2023,6,333 444 666 777 333bf sq1
,2018RIMI01,Flavio Rimi,Anzio Open 2023,6,333 222 444 555 333oh minx
,2018RIMI01,Flavio Rimi,Parthenope Winter Open 2024,6,333 222 444 555 skewb sq1
,2018RIMI01,Flavio Rimi,Eretum I 2025,6,333 444 555 666 333oh minx
,2018RIMI01,Flavio Rimi,CubbOpen Roma 2025,6,333 444 555 333oh minx sq1
,2018RIMI01,Flavio Rimi,Rome IC Qualifier 2025,6,333 444 555 777 333oh sq1
,2019CORO04,Giacomo Daniele Corò,Sanda Spring 2024,6,333 222 444 555 666 sq1
,2019SART01,Daniel Sartori,Campiglia Open 2025,6,333 444 555 666 777 pyram
,2021MARI04,Paolo Marino,Montemurlo Speedcubing 2023,6,444 555 666 777 clock pyram
,2021MARI04,Paolo Marino,Ticino Winter Open 2023,6,333 555 666 777 333oh clock
,2021MARI04,Paolo Marino,Almost Flaminia Open 2024,6,444 555 666 777 333oh clock
,2021MARI04,Paolo Marino,Südtirol Open 2025,6,444 555 666 777 333oh clock
,2021MARI04,Paolo Marino,Bündner Open 2025,6,333 555 666 777 333oh clock
,2021SALE01,Sofia Saletnich,Sicily Summer: Arancino Open 2024,6,333 222 444 666 333oh pyram
,2021SALE01,Sofia Saletnich,Sardinia Open 2025,6,444 555 666 333bf minx pyram
