#,WCAid,Nome,Competizione,Numero,Eventi
,2007POLI01,Lorenzo Vigani Poli,Florence Fantastic Open 2013,3,222 555 333bf
,2007POLI01,Lorenzo Vigani Poli,No Parity Open 2014,3,555 777 333bf
,2007POLI01,Lorenzo Vigani Poli,Roma3 Al Cubo 2018,3,444 333bf 333fm
,2008CIRN01,Fabrizio Cirnigliaro,Florence Open 2010,3,333bf 444bf 333mbf
,2008CIRN01,Fabrizio Cirnigliaro,Mantua Spring 2011,3,333bf 444bf 333mbf
,2008CIRN01,Fabrizio Cirnigliaro,Roma Open 2011,3,333bf 444bf 333mbf
,2008CIRN01,Fabrizio Cirnigliaro,Italian Open 2011,3,444bf 555bf 333mbf
,2008CIRN01,Fabrizio Cirnigliaro,Trieste Open 2013,3,333bf 444bf 333mbf
,2008CIRN01,Fabrizio Cirnigliaro,Cannes Open 2015,3,444bf 555bf 333mbf
,2008SIMO01,Riccardo Simone,South Italian Open 2009,3,555 666 777
,2009BEVA01,Stefano Bevacqua,Florence Open 2010,3,333 444 555
,2009COLO03,Matteo Colombo,Milan Blind Day 2013,3,333bf 444bf 555bf
,2009COLO03,Matteo Colombo,Monterotondo Open 2015,3,333bf 333fm clock
,2009CONT01,Giovanni Contardi,Roma Open 2010,3,333 444 333oh
,2009CONT01,Giovanni Contardi,S.P.Q.R. Italian Rubik's Cube Championship 2010,3,333 444 333oh
,2009CONT01,Giovanni Contardi,Mantua Spring 2011,3,333 444 555
,2009CONT01,Giovanni Contardi,Castelbelforte Cube Battle 2011,3,555 333bf 333oh
,2009CONT01,Giovanni Contardi,Italian Championship 2012,3,333 444 555
,2009CONT01,Giovanni Contardi,Swedish Cube Days 2013,3,333 444 555
,2009CONT01,Giovanni Contardi,BP Cube Day 2014,3,333 444 333oh
,2009CONT01,Giovanni Contardi,Italian Championship 2014,3,333 444 555
,2009CONT01,Giovanni Contardi,Australian Nationals 2015,3,444 555 777
,2009CONT01,Giovanni Contardi,Romagna Open 2019,3,333 444 555
